Key;Label;Tipo Ficheiro;Pasta;Ficheiro;Tipo de Dado;Clas. Risco;Densidade Risco;Nr Dados;Tamanho Documento
000011;RPT000011;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\9\12\b50c56ac-7176-4ae2-96b3-d38af26e2980\;b1a13385-2496-4d56-81e8-2ad95c972329.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;1287
000012;RPT000012;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\3\10\25e988f6-f0ab-4eff-8481-5b29c55e12b3\;18f5ca8b-53e3-45e6-ae58-892676ebc52b.pdf;Morada, CPostal, Data, EMAIL, Nome;2;0.00013;16;2163
000013;RPT000013;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2010\8\30\7698c621-e40b-4b06-8869-9de201294321\;2010_08_30_18_00_13.pdf;Telefone, Data, Nome, DesignacaoCP;2;0.00013;10;5423
000014;RPT000014;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\7\6\79cad334-086b-4f99-a070-51855a25407c\;9b833388-bc2c-4bab-85aa-363f2f65e9bd.1..pdf;;0;0.00000;0;5181
000015;RPT000015;xlsx;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\2\19\8e0c7892-1a1c-453f-8ad1-ef940978eacf\;97bacf57-df68-4093-8121-2c965da89d9f.1..xlsx;Profissao, Nome, DesignacaoCP;2;0.00013;492;1819
000016;RPT000016;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\1\5\81342329-9760-4250-9e88-90abab338922\;6bf7615d-f749-4fb2-a52b-d32798e30e71.1..pdf;IBAN, Profissao, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;23;1360
000017;RPT000017;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\7\31\f2e93ccf-e75d-4007-9422-d99bdbc962af\;db5e9044-26f3-4676-81f7-28fbf5323e46.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;20;8607
000018;RPT000018;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\3\12\4fc1c65a-347b-49a8-95d0-c05dbba685b0\;c75e01aa-7b53-4a74-a838-ee762dc94717.1..pdf;Filiacao, Profissao, Telefone, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;28;1138
000019;RPT000019;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\10\22\7ed06d0f-57ae-4eb2-bbb2-b498604e47b6\;5062d637-f4d7-47f9-b54a-7a8b17455e0a.1..pdf;Filiacao, IBAN, Profissao, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;18;1553
000020;RPT000020;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\3\16\95c0459b-86fc-478a-b193-f0d6febdc17d\;4db93e6a-65cb-4aeb-855f-fc19639076f8.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;8479
000021;RPT000021;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\12\28\56cc2d76-6272-4ff2-9741-b8c520905861\;22acaa26-3c68-4f26-b7ca-0adfb4ddbcb4.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;8461
000022;RPT000022;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\4\2\6722d289-e6eb-494c-85a1-1b7f367d8099\;8cf2b852-7921-4e9c-acbe-f8dcf855b708.pdf;Morada, CPostal, Data, EMAIL, Nome;2;0.00013;19;2729
000023;RPT000023;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\12\29\ff48f656-9cd6-4ee0-9c19-1eebc4f46811\;37446802-46c3-4b6c-a253-5786e3644a60.1..pdf;Profissao, Telemovel, Morada, Data, EMAIL, Nome;2;0.00013;25;2394
000024;RPT000024;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\11\20\6c318791-c355-4206-bdb4-4a423980aba8\;8dbb3cd2-961e-48ea-ac93-2a7fff3f5ec3.1..pdf;Filiacao, IBAN, NIB, Telefone, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;19;8653
000025;RPT000025;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2013\12\20\edb44bb4-3090-4a59-81a6-4e64c83363f4\;1cc7b278-21fc-4561-bcdf-60a200a63acf.pdf;Filiacao, CPostal, Data, DesignacaoCP, Nome;5;0.00017;10;319
000026;RPT000026;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2013\9\24\d6fd4593-557c-460a-8e98-a8c86c7c6b3e\;9ffaf870-a9f0-4056-9526-24410111b58d.pdf;;0;0.00000;0;1173
000027;RPT000027;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\10\22\1ebee992-f4bd-4c62-8dcd-c34ed370829b\;7dca4e63-b7bb-44f7-b466-8dc137498418.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;1407
000028;RPT000028;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2010\1\12\51b34ae9-8390-4dec-84c1-9cfc00c9a6fb\;2010_01_12_12_12_34.pdf;CPostal, Data, Nome;2;0.00013;8;7013
000029;RPT000029;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\9\12\24c53af4-350b-4ed8-8e19-02cb12a574c7\;9321fa42-12d7-4645-8afc-45d11485d97d.1..pdf;IBAN, Profissao, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;13;1343
000030;RPT000030;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2013\11\15\50020a80-ff48-431c-af08-42df7be29353\;6b7a7fc9-afd6-4a59-963e-8e417c24bee1.pdf;Filiacao, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;21;1406
000031;RPT000031;xlsx;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\10\10\ffc04d00-a7e0-4e20-915c-6a59aaacc73b\;04a77dee-2a98-4684-8b6d-025f564de2ec.1..xlsx;Profissao, Nome, DesignacaoCP;2;0.00013;492;1891
000032;RPT000032;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2013\7\4\381f9644-847c-4cb7-be5e-5880f821ad8b\;826670e4-a96f-4be5-9108-a3d2a4b5194d.pdf;IBAN, Profissao, Telefone, CPostal, Data, DesignacaoCP, Nome;4;0.00026;17;1865
000033;RPT000033;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\3\30\6cf0bc36-fc50-4f47-a978-a6fc08c93b46\;471ad916-35d4-4cc7-9a3c-23e3e7899daa.1..pdf;;0;0.00000;0;4499
000034;RPT000034;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\2\18\94e92796-656f-4ddb-bf60-fd0fd70c6fbf\;8e60a3cd-e328-43de-9001-3c612eb5dbc1.pdf;;0;0.00000;0;7430
000035;RPT000035;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2013\2\7\969d3d03-f072-4b44-b888-85b3bb4ee4d8\;8db65f10-522d-42b8-b1e2-ae1d57ec3199.pdf;Filiacao, CPostal, Data, DesignacaoCP, Nome;5;0.00033;8;1445
000036;RPT000036;xlsx;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\11\14\99f0ea53-b476-4d2a-88b1-e985f6b2a78e\;4c69ddce-0926-4df0-ab8c-6de038126e32.1..xlsx;Profissao, Nome;2;0.00013;202;1773
000037;RPT000037;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\7\10\f5807b5b-d6f4-4c79-85dd-d196fbfd7a21\;53caf3a1-2e76-453e-ab9d-12d793cc10fd.1..pdf;IBAN, NIB, CPostal, NIF, Data, DesignacaoCP, Nome;4;0.00026;14;8452
000038;RPT000038;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\3\23\eb1198fc-eb59-4ba8-b42e-9d8ea648707f\;adb79df1-488a-428a-bd54-a2e8afc29416.1..pdf;;0;0.00000;0;3680
000039;RPT000039;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\5\4\22edaab4-0fd4-4173-930c-fd9b3c2ab778\;ac69ea63-31d7-4040-98fa-7011ddb2ac35.1..pdf;IBAN, NIB, Profissao, Data, EMAIL, Nome;4;0.00026;16;9857
000040;RPT000040;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2010\8\2\573a94a8-392e-4a31-97f7-9dc600f46aa0\;2010_08_02_14_47_55.pdf;Morada, CPostal, NIF, Data, DesignacaoCP, Nome;4;0.00026;17;13896
000041;RPT000041;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\7\25\9f2aa4aa-8d1e-4726-bbae-2ec67bbada3d\;777f4556-8a34-4602-86e8-2993107fd04d.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;8503
000042;RPT000042;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\6\2\02dc84b3-eb4c-4c93-bfec-e562cb157f04\;b6852cff-fcd0-4618-b292-9c36f5fbe37b.1..pdf;IBAN, Profissao, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;14;1403
000043;RPT000043;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\8\23\7a049b4a-ffbe-40de-b4f6-5bf1c23b216c\;99dac800-7710-4020-9543-cf83e8d9dcf6.1..pdf;;0;0.00000;0;3430
000044;RPT000044;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\3\29\e4b5eb2b-2ed2-490b-aa43-939ed0d5df3e\;ef8f243d-d697-4f13-b52b-aae1ed9a643c.1..pdf;CPostal, DesignacaoCP, Nome;2;0.00013;10;3679
000045;RPT000045;xlsx;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\10\12\4e25387d-6dd4-460c-9024-d1d728c8e5f0\;6a7ed814-26a7-4416-a392-4d5ef96336df.1..xlsx;Profissao, Nome;2;0.00013;202;1789
000046;RPT000046;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\3\27\e33829a8-9fec-4e33-b943-71fd1a848635\;7ef601b5-68c9-40e7-a0b2-5170ca405ce6.1..pdf;IBAN, NIB, Morada, CPostal, NIF, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;19;8590
000047;RPT000047;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\7\16\98800c8c-b419-4cf3-bc46-556d0a4c1a07\;6007b6c0-3fd6-49d1-8a37-074b611f2e4b.1..pdf;;0;0.00000;0;3156
000048;RPT000048;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\9\21\a06f3467-0d66-4ded-b306-f85d52456eb6\;dad63386-c85e-412f-b562-6c52c527ebc9.1..pdf;IBAN, NIB, Profissao, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;18;7545
000049;RPT000049;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\6\18\9c6f585d-8caa-4d3b-8885-b8dbf1aaba54\;78793bbc-1146-4f2d-9d42-719288af4a6c.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;18;8401
000050;RPT000050;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\6\20\c3432ba8-9789-465c-9230-82e2116821a9\;e54000ae-74bf-4744-9a32-2a1c90ef5972.1..pdf;;0;0.00000;0;8528
000051;RPT000051;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\12\5\c2e0327d-a75d-4c8d-93bf-d1626e4c9c2e\;4094678f-81bb-4968-9f0c-da73aa5d834c.1..pdf;;0;0.00000;0;2482
000052;RPT000052;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\7\31\b23ff010-0fb1-41e8-b86b-74c22a57f627\;5fe5c7e4-589b-4671-a225-59a840216387.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;2594
000053;RPT000053;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\11\17\c105bb7e-6ff6-4f62-a81a-b7205a3ad9c2\;9b4311e1-bd41-430e-a164-a3aa76e57e33.1..pdf;;0;0.00000;0;3815
000054;RPT000054;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\7\24\92b15223-aca0-41af-9de7-4131edf22dc8\;a92324d2-c11f-4612-a3f3-050e59d7fb93.1..pdf;IBAN, NIB, Morada, CPostal, NIF, Data, DesignacaoCP, Nome;4;0.00026;18;2203
000055;RPT000055;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\7\17\e7ab4b8e-256f-4de4-b7bb-0a4bf367ebad\;91774893-7364-4524-8d3c-62f5f67e2b69.1..pdf;Filiacao, Profissao, Telefone, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;25;1138
000056;RPT000056;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\8\29\d42bc206-00a9-4987-8422-3b1388a2fbe0\;38623281-05ea-4322-a216-5ed84f81666d.1..pdf;;0;0.00000;0;10298
000057;RPT000057;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\1\16\4cfba834-4913-424d-82ff-3fbb2efa8135\;9fd164b3-c1fc-410f-976e-4a6bfb280701.pdf;;0;0.00000;0;7132
000058;RPT000058;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\1\30\be8db755-0ad7-4fae-ab5c-c56eda65e09b\;e1795355-1b9d-4812-b76f-443fd1653192.pdf;;0;0.00000;0;2319
000059;RPT000059;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\9\16\f68af8af-63d7-4505-a605-29323f0f9d88\;8b41b3cb-658b-4146-a296-d6b9ff474238.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;1300
000060;RPT000060;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\1\28\37a4c8e9-bafb-4edc-8796-4b1567089f88\;263f18f8-7a1d-47ef-b28b-5e07c47bacb3.pdf;;0;0.00000;0;2129
000061;RPT000061;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\12\26\5390f74b-3096-4860-b5b2-03e347663b90\;838504b7-e733-41d4-829e-e88257d5c2bc.1..pdf;Filiacao, Profissao, Telefone, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;25;1127
000062;RPT000062;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\3\29\2bcce96e-ca19-4829-bf19-b1af398135bb\;9419cc70-1d86-469f-a184-ef3fa955d3e8.1..pdf;IBAN, NIB, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;15;1992
000063;RPT000063;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\5\15\1472a97b-c40c-417a-a099-7cf5508b64bb\;5dae5d7e-8f2a-46aa-8490-2f844319eab4.1..pdf;;0;0.00000;0;2115
000064;RPT000064;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\11\3\b4fe8688-0ac5-4b18-8429-634e8ee82e40\;93864d04-eccb-460a-a83a-b95f81581df1.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;1999
000065;RPT000065;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\11\30\1c2674ac-170e-46a7-85f8-8de48114fa32\;3ba7043f-c33c-4075-9c3e-9b0786540c2e.1..pdf;Profissao, CPostal, Data, DesignacaoCP, Nome;2;0.00013;8;1765
000066;RPT000066;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\1\22\973f9434-5ef0-4cd9-a523-64a077e9ef71\;e7e33f71-e1a8-47e5-9f82-f9e334ed59fe.1..pdf;Morada, CPostal, EMAIL, Nome, DesignacaoCP;2;0.00013;12;2915
000067;RPT000067;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\5\21\1750cca8-c973-4276-8ce1-1cb29ffd1ff7\;12a1eb33-43e2-4f5d-a8c5-b0e253025019.pdf;;0;0.00000;0;2352
000068;RPT000068;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\3\14\bafed820-daee-40d4-9b9e-e739e9fbf40e\;0616b07d-123e-4f0a-9634-0e284b35b543.1..pdf;CPostal, Nome;2;0.00013;10;3361
000069;RPT000069;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\12\19\63b9f78c-e527-4e88-b2d5-d8a6971e9ad9\;9a1cb488-ca10-4d8e-a8a2-234f8e905311.1..pdf;;0;0.00000;0;3350
000070;RPT000070;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\7\11\c341bd90-2b19-450f-bd97-05d3265ebd1f\;6560939d-c4ae-4337-b23c-7d69e16a76b4.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;2031
000071;RPT000071;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\7\2\dabb486c-58f2-4d36-9361-b38bd1754516\;ee2ee1ea-60e1-4945-add7-70c2d175ba6a.pdf;;0;0.00000;0;7087
000072;RPT000072;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2011\9\9\a4a99688-dac5-451d-897e-83e8d8e885b3\;170a356b-77ed-47c8-b159-bb17caca45c5.pdf;Telefone, CPostal, Data, EMAIL, Nome;2;0.00013;11;10079
000073;RPT000073;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\1\7\c224602f-90a2-4fd1-a262-27a37cc4b3fc\;dbc27fc4-40d7-47e4-a8e1-17332b3e1a52.1..pdf;IBAN, Profissao, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;23;1563
000074;RPT000074;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2009\10\26\83f35856-4679-4a02-9e08-9cae00c0dc68\;2009_10_26_11_40_54.pdf;Morada, Data, DesignacaoCP, Nome;2;0.00013;8;4411
000075;RPT000075;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\1\16\b6d27f4c-1a6b-4eca-bbbc-c6de5e4197f7\;f0cdcb8a-7b26-48dc-8295-895844bf98d1.1..pdf;CPostal, Data, Nome;2;0.00013;7;6679
000076;RPT000076;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\10\14\d31a0849-0eeb-4265-9bb3-fb7bab0a2d51\;b8238a1f-441c-49e4-a89f-1976cccac514.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;22;3061
000077;RPT000077;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\5\12\d298cd69-2046-4653-8a16-7fdfc21caa41\;a8efc5df-a37a-4757-925f-2778e2f696a9.1..pdf;Morada, CPostal, Data, EMAIL, Nome;2;0.00013;16;2638
000078;RPT000078;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2013\1\3\17cb0534-f54f-479a-b63b-403664937d0e\;429baf38-9a68-4c15-9a0f-3421e80b2bac.pdf;;0;0.00000;0;4939
000079;RPT000079;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2012\7\27\aa5e1e60-8d53-467c-8fc3-84bcace166bb\;864b0eca-e5a4-41a8-b17f-1e2eb381e21e.pdf;Profissao, CPostal, Data, DesignacaoCP, Nome, NISS;4;0.00026;19;13015
000080;RPT000080;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2012\4\4\2b8dcac0-ea9a-48c3-bbed-b31ea3174c02\;625fbd9c-f6a2-4756-8722-75696b32154b.pdf;Morada, CPostal, DesignacaoCP, Nome;2;0.00013;7;13333
000081;RPT000081;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\12\21\4d97294b-bc12-4499-a618-19e335d71067\;f82cdf31-f6d8-4761-8105-b18d1839ca6a.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;17;3043
000082;RPT000082;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\9\30\34b5bdde-4eec-4ad3-a13f-becda0464dad\;74fa3aec-ed31-4809-92c9-15ac1f73fcf2.1..pdf;Filiacao, Telemovel, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;20;1554
000083;RPT000083;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\5\22\e87a7c5c-702e-4848-bb99-fa4beecb535b\;ee1da9e3-8ab7-4a0d-a9ff-5a19d72ddfc4.1..pdf;IBAN, NIB, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;15;2034
000084;RPT000084;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2014\1\15\208fd1b6-5383-4230-9498-493c9943a6b0\;9d75dc62-94ad-4947-9bac-6906977faf94.pdf;;0;0.00000;0;2325
000085;RPT000085;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\4\9\8c72edac-320d-4277-a308-83767561b326\;e415b142-f396-44b6-9b26-3d7ed21c8023.1..pdf;;0;0.00000;0;674
000086;RPT000086;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\9\27\74b5ab9e-1560-4d2e-8387-a734167cd67a\;cc71ce76-f230-4659-a391-52cb7f706b2f.1..pdf;Morada, CPostal, Data, DesignacaoCP, Nome;2;0.00013;12;3877
000087;RPT000087;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2013\2\21\042ef995-ec2f-4439-8d1d-defa0ac21de4\;c8b9535b-243b-4a69-80cf-962c4c3203a5.pdf;;0;0.00000;0;12225
000088;RPT000088;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2009\9\4\cb2ba8b1-3034-416b-a9fc-9c7a00d006f8\;2009_09_04_12_36_06.pdf;Filiacao, NIB, Profissao, Telefone, CPostal, EMAIL, DesignacaoCP, Nome;5;0.00033;12;3542
000089;RPT000089;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\12\13\3b13ec63-1c6d-4371-ada7-1d28705fc29a\;15386672-0724-4ab4-a6af-c8fca53de193.1..pdf;Filiacao, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;23;13749
000090;RPT000090;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\7\1\b46dc393-5d2f-4171-b69c-41024d7b6711\;fe098fcf-023d-487b-8547-4316d83b32f1.1..pdf;;0;0.00000;0;2732
000091;RPT000091;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\7\25\713d658c-beb0-4380-82a0-b5fa8fad072e\;f75ce6a9-6f34-4c70-8d01-40c6068edb70.1..pdf;;0;0.00000;0;2847
000092;RPT000092;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2017\3\27\2108adfc-aa0d-4730-ba24-94f4a99e89e6\;db5ab8e7-5bc2-4969-abde-d66ebe422b29.1..pdf;Filiacao, Profissao, Telemovel, Telefone, NIF, Data, DesignacaoCP, Nome;5;0.00033;789;18437
