Key;Label;Caminho;Path;File;EntityType;Risk;RiskDensity;EntityNr;SizeDocument
11;RPT000011;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\Avaliações Militares_2014\;nota nº  8 avaliação extraordinária_Azevedo da Silva.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;14;760
12;RPT000012;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\;Report PAF-1º SEMESTRE 2013 - 30ABR.xlsx;Profissao, Data, DesignacaoCP, Nome;2;0,00013;275;622
13;RPT000013;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\AVALIAÇÕES MILITARES\NOTAS AVALIAÇÕES SSTI\;Avaliações _lurdes- ssti nº 74.docx;Profissao, Morada, CPostal, Data, Nome, DesignacaoCP;2;0,00013;19;780
14;RPT000014;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;CAB E BARRADAS.xlsx;Profissao, Data, Nome, DesignacaoCP;2;0,00025;12;1910
15;RPT000015;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES _2012_2013\AVALIAÇÕES\Avaliações 2013\DITIC 2013\;nota nº42 avaliações por destacamento.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;14;772
16;RPT000016;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;2TEN SANTOS CAEIRO.xlsx;Nome, DesignacaoCP;2;0,00025;10;1883
17;RPT000017;pdf;C:\Users\M12003091_old\AppData\Roaming\Adobe\Acrobat\Preflight Acrobat 9\Backgrounds\Default\;Blue_light.pdf;;0;0;0;166
18;RPT000018;docx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\PROMOÇÕES _ MSG\;MSG DITICMAR _PROMOCAO_LELLO.docx;Profissao, Nome, DesignacaoCP;2;0,00013;6;228
19;RPT000019;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;1 TEN ROBOREDO.xlsx;Nome, DesignacaoCP;2;0,00025;8;1905
20;RPT000020;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\avaliações 2012\;NOTA DE AVALIAÇÃO Nº15 CFR SEIXAS NUNES.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;14;760
21;RPT000021;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\avaliações 2017\;nota sti - cdiacm.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;12;955
22;RPT000022;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\2º semestre\guias cefa\;sar ramos.xlsx;Nome, DesignacaoCP;2;0,00025;9;1897
23;RPT000023;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AUDITORIA_2015\;AUDITORIA 2015.docx;Nome;1;0,00006;5;350
24;RPT000024;doc;C:\Users\m12003091\Desktop\;20150302_DP_RMC_MIL_EXERCER OUTRAS ATIVIDADES_ moreiras.doc;Nome;1;0,00013;3;1438
25;RPT000025;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs2015\Guias cefa\;sá de araujo.xlsx;Data, Nome, DesignacaoCP;2;0,00025;7;1884
26;RPT000026;pdf;C:\Users\m12003091\AppData\Local\Adobe\Acrobat\9.0\Stamps\;interno DITIC.pdf;Nome;1;0,00013;1;12700
27;RPT000027;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\GUIAS DAGI\;Guia SOFIA ALVES.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;10;1884
28;RPT000028;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\DITIC\1TEN M. GRILO\;1 TEN C. ALEXANDRE.pdf;Profissao, Nome, DesignacaoCP;2;0,00025;20;14911
29;RPT000029;pdf;C:\Users\m12003091\Desktop\tania\BOLSA 2017\;referencia.pdf;;0;0;0;1340
30;RPT000030;pdf;C:\Users\m12003091\Desktop\carimbos\;interno DAGI.pdf;Nome;1;0,00013;1;12339
31;RPT000031;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\AVALIAÇÕES MILITARES\NOTAS AVALIAÇÕES DITIC\Avaliações 2012\AVALIAÇÕES 2013\;Nota nº 123_DITIC-2013.docx;Profissao, Morada, CPostal, Data, Nome, DesignacaoCP;2;0,00013;13;790
32;RPT000032;xlsx;C:\Users\m12003091\Desktop\formação\PAFM II\PAFMII_2016\;Indicador de gestão _ 2016.xlsx;Profissao, Nome;2;0,00013;10;230
33;RPT000033;docx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs2015\NOTA DSF\;martins gonçalves lopes cordeiro.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;11;805
34;RPT000034;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\1º semestre\GUIAS UAICM\;1TEN _Figueiredo dos Santos.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;10;1922
35;RPT000035;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;1SAR SILVA SOARES.xlsx;Nome, DesignacaoCP;2;0,00025;10;1894
36;RPT000036;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS AO CEFA\;GUIA JUNTA_SANTANA GONÇALVES.xlsx;Data, Nome, DesignacaoCP;2;0,00025;9;1906
37;RPT000037;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2012_\PAFS 1 SEMESTRE 2012\M129 - 2012-UAICM\129 2011 -CEFA\;GUIA AO CEFA -FERNANDEZ.xlsx;Nome, DesignacaoCP;2;0,00025;6;2591
38;RPT000038;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\DITIC\1 TEN V. NEVES\;2TEN L. CORDEIRO.pdf;Profissao, Nome, DesignacaoCP;2;0,00025;19;14892
39;RPT000039;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\2º semestre\guias médico\;1SAJ L AZEVEDO.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;8;1899
40;RPT000040;docx;C:\Users\m12003091\Desktop\formação\ESTAGIOS N_REMUNERADOS\Ditic\Minutas - Protocolo\;Minuta Protocolo_ escola - eifel.docx;Habilitacao, Profissao, Morada, CPostal, Nome;2;0,00025;20;1365
41;RPT000041;docx;C:\Users\m12003091\Desktop\formação\ESTAGIOS N_REMUNERADOS\Ditic\Minutas - Protocolo\;Minuta Protocolo - IEFP - SEIXAL.docx;Habilitacao, Profissao, Morada, CPostal, Nome;2;0,00025;27;1320
42;RPT000042;doc;C:\Users\m12003091\Desktop\Arquivo 2018 DITIC\CAIXA02-atualizado 26 jan\;Guia de remessa - CAIXA 1-2018-7.doc;Profissao, Data, Nome;2;0,00025;9;2529
43;RPT000043;docx;C:\Users\m12003091\Desktop\DIVERSOS\;SJ25 - Termo de ....docx;Filiacao, Profissao, Nome;5;0,00032;9;524
44;RPT000044;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\AVALIAÇÕES MILITARES\NOTAS AVALIAÇÕES DAGI\AVALIAÇÕES 2013\;NOTA Nº64 VIEGAS.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;13;789
45;RPT000045;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\avaliações 2012\;NOTA Nº 14 AVALIAÇÕES - DAGI.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;21;779
46;RPT000046;pdf;C:\Users\M12003091_old\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\L0W0XCUT\;SAIDA 258 (2).pdf;;0;0;0;21401
47;RPT000047;pdf;C:\Users\m12003091\Desktop\DIVERSOS\NUNO\;ANO 2008.pdf;;0;0;0;52741
48;RPT000048;docx;C:\Users\m12003091\Desktop\formação\ESTAGIOS N_REMUNERADOS\Ditic\Minutas - Protocolo\;Minuta Protocolo - Augusto Cabrita.docx;Habilitacao, Profissao, Morada, CPostal, Nome;2;0,00025;34;1360
49;RPT000049;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\1º semestre\GUIAS UAICM\;saj ferreira bispo.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;9;1919
50;RPT000050;xlsx;C:\Users\m12003091\Desktop\formação\ESTAGIOS N_REMUNERADOS\STI\;Cópia de 38370_plano anual estágios marinha 2016_17.xlsx;Filiacao, Habilitacao, Profissao, Telemovel, Morada, EMAIL, Nome;5;0,00064;126;1288
51;RPT000051;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\avaliações 2012\;NOTA VALIAÇÕES Nº 30 - TALINA EX..docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;18;787
52;RPT000052;docx;C:\Users\m12003091\Desktop\formação\ESTAGIOS N_REMUNERADOS\Ditic\Minutas - Protocolo\;Minuta Protocolo - IEFP - SEIXALcorrigido.docx;Habilitacao, Profissao, Morada, CPostal, Nome;2;0,00025;28;1345
53;RPT000053;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\DITIC\1 TEN B. REBOLA\;1SAR ETC A. CAEIRO.pdf;Profissao, Nome, DesignacaoCP;2;0,00025;18;14952
54;RPT000054;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\DITIC\1 TEN B. REBOLA\;STEN S. JORGE.pdf;Profissao, Nome, DesignacaoCP;2;0,00025;23;14965
55;RPT000055;pdf;C:\Users\M12003091_old\AppData\Roaming\Adobe\Acrobat\Preflight Acrobat 9\OutputIntent\;CoatedGRACoL2006.pdf;;0;0;0;54642
56;RPT000056;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\DAGI\CTEN O. VIEIRA\;SCH ARACCHANDE.pdf;Profissao, Nome, DesignacaoCP;2;0,00025;16;14932
57;RPT000057;xlsx;C:\Users\m12003091\Desktop\formação\PAFN\PAFN 2015\;PAFN_2015_SSTI.xlsx;Habilitacao, Profissao, Nome;2;0,00013;19;919
58;RPT000058;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs2015\;MAPA 2º SEMESTRE_2015.xlsx;Profissao, Data, DesignacaoCP, Nome;2;0,00013;249;549
59;RPT000059;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES _2012_2013\AVALIAÇÕES\Avaliações 2013\DITIC 2013\;NOTA Nº  Quaresma.docx;Profissao, Morada, CPostal, Data, Nome, DesignacaoCP;2;0,00013;19;808
60;RPT000060;docx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs2015\promoçoes\;MSG DITICMAR _PROMOCAO_ Sfernandes neto.docx;Profissao, Nome;2;0,00013;3;242
61;RPT000061;doc;C:\Users\M12003091_old\Desktop\;~$TA_111-2012-Enviar Certificado Curso.doc;;0;0;0;8
62;RPT000062;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\1º semestre\GUIAS UAICM\;1SAR PEREIRA DA SILVA.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;10;1918
63;RPT000063;xlsx;C:\Users\m12003091\Desktop\formação\ESTAGIOS N_REMUNERADOS\certificados estagios\;Estagiários_formatado-formulário.xlsx;Habilitacao, Profissao, Morada, CPostal, Data, DesignacaoCP, Nome;2;0,00013;40;234
64;RPT000064;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs2015\promoçoes\;guia promoção _Paiva Santos.xlsx;Nome, DesignacaoCP;2;0,00025;7;1832
65;RPT000065;docx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\Notas\;STEN TSN GONÇALVES FERREIRA.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;12;798
66;RPT000066;pdf;C:\Users\m12003091\Desktop\Biblioteca_DITIC\;Listagem de Livros_DITIC.pdf;Filiacao, Profissao, Data, Nome;5;0,00064;214;5113
67;RPT000067;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\2º semestre\guias médico\;ESTRADA.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;9;1902
68;RPT000068;docx;C:\Users\m12003091\Desktop\formação\Formação£estágios\2016\Q A DSF\;DSF-AES-QUES01_ALT01_QTutores_Estágios_JorgeSouto.docx;EMAIL, Nome, DesignacaoCP;2;0,00025;14;8733
69;RPT000069;docx;C:\Users\m12003091\Desktop\formação\Formação£estágios\2016\Q A DSF\;DSF-AES-QUES01_ALT01_QTutores_Estágios_HelderAmaral.docx;EMAIL, Nome, DesignacaoCP;2;0,00025;14;8708
70;RPT000070;docx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\MSG CEFA\;MSG DAGI _SSAR PIN RAMOS PEDRO.docx;Profissao, Nome;2;0,00013;3;231
71;RPT000071;xlsx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2015\SIADAP 2015\;Cópia de SIADAP_avaliados  avaliadores_Conhecimento avaliações (2) atualizado em 14-09-2015.xlsx;Profissao, Nome, DesignacaoCP;2;0,00013;201;342
72;RPT000072;docx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\1º semestre\NOTAS\;NOTA Nº _DITIC_TERESA GAMA.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;11;809
73;RPT000073;pdf;C:\Users\m12003091\Desktop\cadernatas\;cadernetaPredialContribuinte.jsp09.pdf;Profissao, CPostal, NIF, Data, Nome, DesignacaoCP;4;0,00051;20;5695
74;RPT000074;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\DITIC\1 TEN V. NEVES\;1SAR ETI S. BRITO.pdf;Profissao, Nome, DesignacaoCP;2;0,00025;19;14951
75;RPT000075;doc;C:\Users\m12003091\Desktop\Arquivo 2018 DITIC\CAIXA 01_ atualizado 26-jan\;Guia de remessa - CAIXA 1-2018-05.doc;Profissao, Data, Nome;2;0,00025;9;2531
76;RPT000076;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\GUIAS DITIC\UAICM\;2TEN CABRITA BRANCO.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;11;1964
77;RPT000077;doc;C:\Users\m12003091\Desktop\Biblioteca_DITIC\CEDENCIA_DITIC\;CEDÊNCIA TEMPORÁRIA DE PUBLICAÇÕES CTE DIAS MARQUES.doc;Data, Nome;2;0,00025;3;1031
78;RPT000078;docx;C:\Users\m12003091\Desktop\DIVERSOS\;Serviços Partilhados_lista de Pessoal.docx;Nome;1;0,00006;34;205
79;RPT000079;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs2015\GUIAS MÉDICO\DITIC 1º _2º SEMESTRE\;GEADAS.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;8;1883
80;RPT000080;xlsx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2016\;Setor STI - avaliações pessoal militar.xlsx;Profissao, Data, Nome, DesignacaoCP;2;0,00013;388;768
81;RPT000081;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2015\avaliações de militares\;nota nº  _avaliações priodicas 2015_condutor sti.docx;Profissao, Morada, CPostal, Data, Nome, DesignacaoCP;2;0,00013;15;781
82;RPT000082;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;cmg alves francisco_ DAGI.xlsx;Nome, DesignacaoCP;2;0,00025;10;1897
83;RPT000083;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\1º semestre\GUIAS UAICM\;SAJ ETI_RIACHOS.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;8;1900
84;RPT000084;docx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\2º semestre\MSG\;cunha bento.docx;Profissao, Data, Nome;2;0,00013;8;255
85;RPT000085;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\DITIC\1TEN P. PARDELHA\;CAB L PAULINO.pdf;Profissao, Data, Nome, DesignacaoCP;2;0,00025;20;14937
86;RPT000086;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\2º semestre\guias médico\;CAEIRO.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;9;1893
87;RPT000087;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs2015\Guias cefa\;santos jorge.xlsx;Data, Nome, DesignacaoCP;2;0,00025;12;1896
88;RPT000088;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs2015\Guias cefa\;Patricio.xlsx;Data, Nome, DesignacaoCP;2;0,00025;7;1894
89;RPT000089;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\DITIC\2TEN N. RIBEIRO\;1SAR C BAPTISTA.pdf;Profissao, Nome, DesignacaoCP;2;0,00025;16;14958
90;RPT000090;doc;C:\Users\m12003091\Desktop\Arquivo 2018 DITIC\CAIXA02-atualizado 26 jan\;Guia de remessa - CAIXA 1-2018-6.doc;Profissao, Data, Nome;2;0,00025;9;2511
91;RPT000091;docx;C:\Users\m12003091\Desktop\formação\ESTAGIOS N_REMUNERADOS\STI\;Protocolo Comunicação e Marketing ( ja com a nossa parte  preenchido).docx;Filiacao, Habilitacao, Profissao, Morada, CPostal, Nome;5;0,00064;26;2262
92;RPT000092;pdf;C:\Users\m12003091\Desktop\PASTA LIMA\;ASSENTO DE OBITO.pdf;;0;0;0;2420
93;RPT000093;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\CIVIS_MEDICINA DO TRABALHO\GUIAS MÉDICO\EX.MÉDICOS 2015\;tec. inf_leça lopes_2015.xlsx;Nome, DesignacaoCP;2;0,00025;9;1889
94;RPT000094;xlsx;C:\Users\m12003091\Desktop\;Cópia de 20170918-Estagios Realizados Marinha-STI 2015-17.xlsx;Filiacao, Habilitacao, Profissao, Telemovel, Morada, EMAIL, Nome;5;0,00064;123;1313
95;RPT000095;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\1º semestre\GUIAS UAICM\;cten mendes grilo.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;10;1918
96;RPT000096;docx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\2º semestre\NOTA DSF\;STEN TSN GONÇALVES FERREIRA.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;12;798
97;RPT000097;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\GUIAS DAGI\;guia_PACHECO.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;10;1898
98;RPT000098;pdf;C:\Users\M12003091_old\AppData\Roaming\Adobe\Acrobat\Preflight Acrobat 9\Backgrounds\Default\;cm_Grid.pdf;;0;0;0;296
99;RPT000099;docx;C:\Users\m12003091\Desktop\PASTA PAFs\Pafs 2011\2011\ditic\;MSG.docx;Profissao, Nome, DesignacaoCP;2;0,00025;6;1203
100;RPT000100;docx;C:\Users\m12003091\Desktop\tania\;Requerimento_Mobilidade-Intercarreiras_TIg3n2-EIg3n1_2017.docx;Profissao, Nome;2;0,00013;13;542
101;RPT000101;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\DAGI\DIR DAGI\;1 TEN N. MIRANDA.pdf;Profissao, Nome, DesignacaoCP;2;0,00025;20;14668
102;RPT000102;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\AVALIAÇÕES MILITARES\NOTAS AVALIAÇÕES DAGI\AVALIAÇÕES 2013\;NOTA Nº 83 1SAR ETI SOARES.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;16;781
103;RPT000103;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\avaliações 2017\;nota sti.docx;Profissao, Morada, CPostal, Data, Nome, DesignacaoCP;2;0,00013;13;966
104;RPT000104;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\GUIAS DITIC\CEFA\;GUIA 129 CEFA_CORREIA DE OLIVEIRA22MAIO.xlsx;Nome, DesignacaoCP;2;0,00025;10;1967
105;RPT000105;pdf;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2014\SSTI\CALM\;CMG BORGES GASPAR.pdf;Profissao, Nome, DesignacaoCP;2;0,00025;17;14891
106;RPT000106;xls;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES _2012_2013\AVALIAÇÕES\Avaliações 2013\DITIC 2013\Avaliações Civis 2013\AVALIAÇÕES CIVIS SIADAP\;Avaliados e Avaliadores 2011.xls;Profissao, Nome;2;0,00025;154;1271
107;RPT000107;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;1TEN miranda_dagi.xlsx;Nome, DesignacaoCP;2;0,00025;12;1906
108;RPT000108;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\GUIAS DAGI\;guia cefa _viegas_8mai.xlsx;Data, Nome, DesignacaoCP;2;0,00025;13;1952
109;RPT000109;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES _2012_2013\AVALIAÇÕES\Avaliações 2013\DITIC 2013\;Nota nº 21  avaliações por destacamento 08out.2012_ sar e praças.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;14;743
110;RPT000110;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\;Report PAF-1º SEMESTRE 2013 - 29MAI.xlsx;Profissao, Data, DesignacaoCP, Nome;2;0,00013;269;652
111;RPT000111;pdf;C:\Users\m12003091\Desktop\cadernatas\;cadernetaPredialContribuinte.jsp08.pdf;Profissao, CPostal, NIF, Data, Nome, DesignacaoCP;4;0,00051;20;5761
112;RPT000112;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\AVALIAÇÕES MILITARES\NOTAS AVALIAÇÕES DITIC\;nota nº 282   avaliações priodicas.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;19;775
113;RPT000113;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\CIVIS_MEDICINA DO TRABALHO\GUIAS MÉDICO\EX. MÉDICO 2014\;TEC REDTEL_custódio.xlsx;Nome, DesignacaoCP;2;0,00025;7;1941
114;RPT000114;docx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs2015\NOTA DSF\;NOTA_PAFs_temporáriamente incapaz_ditic.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;15;836
115;RPT000115;pdf;C:\Users\m12003091\Desktop\PASTA LIMA\;CARTÕES DE UTENT.E ADM SANDRA.pdf;;0;0;0;1542
116;RPT000116;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\GUIAS DITIC\CEFA\;GUIA 129 CEFA_SANTOS JORGE 03ABR13.xlsx;Data, Nome, DesignacaoCP;2;0,00025;10;1893
117;RPT000117;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\CALENDARIZAÇÃO 2013_PAFs_ficheiros\GUIAS DAGI\UAICM\;GUIA EXM. ARACCHANDE.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;9;1922
118;RPT000118;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES 2015\avaliações de militares\;nota nº ditic _avaliações priodicas 2015_oficiais.docx;Profissao, Morada, CPostal, Data, Nome, DesignacaoCP;2;0,00013;9;771
119;RPT000119;xlsx;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\AVALIAÇÕES MILITARES\PESSOAL\;SAJ ETI MARQUES.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;14;6853
120;RPT000120;docx;C:\Users\m12003091\Desktop\DESPACHOS\;DESPACHO.docx;Profissao, Nome;2;0,00025;14;1504
121;RPT000121;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\1º semestre\;~$MAPA 1º SEMESTRE_2014.xlsx;;0;0;0;48
122;RPT000122;pdf;C:\Users\m12003091\AppData\Local\Adobe\Acrobat\9.0\Stamps\;interno STI.pdf;Nome;1;0,00013;1;12795
123;RPT000123;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;SCH RODRIGUES SIMÕES.xlsx;Data, Nome, DesignacaoCP;2;0,00025;10;1903
124;RPT000124;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\GUIAS DITIC\UAICM\;DITIC_ PENIM GARCIA.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;10;1930
