Key;Label;�rea Neg�cio;Pasta;Ficheiro;Tipo de Dado;Clas. Risco;Densidade Risco;Nr Dados;Tamanho Documento
37;RPT000037;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\7\10\f5807b5b-d6f4-4c79-85dd-d196fbfd7a21\;53caf3a1-2e76-453e-ab9d-12d793cc10fd.1..pdf;IBAN, NIB, CPostal, NIF, Data, DesignacaoCP, Nome;4;0.00026;14;8452
38;RPT000038;Projectos externos;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\3\23\eb1198fc-eb59-4ba8-b42e-9d8ea648707f\;adb79df1-488a-428a-bd54-a2e8afc29416.1..pdf;;0;0.00000;0;3680
39;RPT000039;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\5\4\22edaab4-0fd4-4173-930c-fd9b3c2ab778\;ac69ea63-31d7-4040-98fa-7011ddb2ac35.1..pdf;IBAN, NIB, Profissao, Data, EMAIL, Nome;4;0.00026;16;9857
40;RPT000040;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2010\8\2\573a94a8-392e-4a31-97f7-9dc600f46aa0\;2010_08_02_14_47_55.pdf;Morada, CPostal, NIF, Data, DesignacaoCP, Nome;4;0.00026;17;13896
41;RPT000041;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\7\25\9f2aa4aa-8d1e-4726-bbae-2ec67bbada3d\;777f4556-8a34-4602-86e8-2993107fd04d.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;8503
42;RPT000042;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\6\2\02dc84b3-eb4c-4c93-bfec-e562cb157f04\;b6852cff-fcd0-4618-b292-9c36f5fbe37b.1..pdf;IBAN, Profissao, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;14;1403
43;RPT000043;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\8\23\7a049b4a-ffbe-40de-b4f6-5bf1c23b216c\;99dac800-7710-4020-9543-cf83e8d9dcf6.1..pdf;;0;0.00000;0;3430
44;RPT000044;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\3\29\e4b5eb2b-2ed2-490b-aa43-939ed0d5df3e\;ef8f243d-d697-4f13-b52b-aae1ed9a643c.1..pdf;CPostal, DesignacaoCP, Nome;2;0.00013;10;3679
45;RPT000045;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\10\12\4e25387d-6dd4-460c-9024-d1d728c8e5f0\;6a7ed814-26a7-4416-a392-4d5ef96336df.1..xlsx;Profissao, Nome;2;0.00013;202;1789
46;RPT000046;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\3\27\e33829a8-9fec-4e33-b943-71fd1a848635\;7ef601b5-68c9-40e7-a0b2-5170ca405ce6.1..pdf;IBAN, NIB, Morada, CPostal, NIF, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;19;8590
47;RPT000047;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\7\16\98800c8c-b419-4cf3-bc46-556d0a4c1a07\;6007b6c0-3fd6-49d1-8a37-074b611f2e4b.1..pdf;;0;0.00000;0;3156
48;RPT000048;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\9\21\a06f3467-0d66-4ded-b306-f85d52456eb6\;dad63386-c85e-412f-b562-6c52c527ebc9.1..pdf;IBAN, NIB, Profissao, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;18;7545
49;RPT000049;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\6\18\9c6f585d-8caa-4d3b-8885-b8dbf1aaba54\;78793bbc-1146-4f2d-9d42-719288af4a6c.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;18;8401
50;RPT000050;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\6\20\c3432ba8-9789-465c-9230-82e2116821a9\;e54000ae-74bf-4744-9a32-2a1c90ef5972.1..pdf;;0;0.00000;0;8528
51;RPT000051;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\12\5\c2e0327d-a75d-4c8d-93bf-d1626e4c9c2e\;4094678f-81bb-4968-9f0c-da73aa5d834c.1..pdf;;0;0.00000;0;2482
52;RPT000052;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\7\31\b23ff010-0fb1-41e8-b86b-74c22a57f627\;5fe5c7e4-589b-4671-a225-59a840216387.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;2594
53;RPT000053;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\11\17\c105bb7e-6ff6-4f62-a81a-b7205a3ad9c2\;9b4311e1-bd41-430e-a164-a3aa76e57e33.1..pdf;;0;0.00000;0;3815
54;RPT000054;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\7\24\92b15223-aca0-41af-9de7-4131edf22dc8\;a92324d2-c11f-4612-a3f3-050e59d7fb93.1..pdf;IBAN, NIB, Morada, CPostal, NIF, Data, DesignacaoCP, Nome;4;0.00026;18;2203
55;RPT000055;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\7\17\e7ab4b8e-256f-4de4-b7bb-0a4bf367ebad\;91774893-7364-4524-8d3c-62f5f67e2b69.1..pdf;Filiacao, Profissao, Telefone, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;25;1138
56;RPT000056;C&B Comuns;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\8\29\d42bc206-00a9-4987-8422-3b1388a2fbe0\;38623281-05ea-4322-a216-5ed84f81666d.1..pdf;;0;0.00000;0;10298
57;RPT000057;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\1\16\4cfba834-4913-424d-82ff-3fbb2efa8135\;9fd164b3-c1fc-410f-976e-4a6bfb280701.pdf;;0;0.00000;0;7132
58;RPT000058;Projectos Internos;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\1\30\be8db755-0ad7-4fae-ab5c-c56eda65e09b\;e1795355-1b9d-4812-b76f-443fd1653192.pdf;;0;0.00000;0;2319
59;RPT000059;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\9\16\f68af8af-63d7-4505-a605-29323f0f9d88\;8b41b3cb-658b-4146-a296-d6b9ff474238.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;1300
60;RPT000060;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\1\28\37a4c8e9-bafb-4edc-8796-4b1567089f88\;263f18f8-7a1d-47ef-b28b-5e07c47bacb3.pdf;;0;0.00000;0;2129
61;RPT000061;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\12\26\5390f74b-3096-4860-b5b2-03e347663b90\;838504b7-e733-41d4-829e-e88257d5c2bc.1..pdf;Filiacao, Profissao, Telefone, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;25;1127
62;RPT000062;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\3\29\2bcce96e-ca19-4829-bf19-b1af398135bb\;9419cc70-1d86-469f-a184-ef3fa955d3e8.1..pdf;IBAN, NIB, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;15;1992
63;RPT000063;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\5\15\1472a97b-c40c-417a-a099-7cf5508b64bb\;5dae5d7e-8f2a-46aa-8490-2f844319eab4.1..pdf;;0;0.00000;0;2115
64;RPT000064;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\11\3\b4fe8688-0ac5-4b18-8429-634e8ee82e40\;93864d04-eccb-460a-a83a-b95f81581df1.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;1999
65;RPT000065;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\11\30\1c2674ac-170e-46a7-85f8-8de48114fa32\;3ba7043f-c33c-4075-9c3e-9b0786540c2e.1..pdf;Profissao, CPostal, Data, DesignacaoCP, Nome;2;0.00013;8;1765
66;RPT000066;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\1\22\973f9434-5ef0-4cd9-a523-64a077e9ef71\;e7e33f71-e1a8-47e5-9f82-f9e334ed59fe.1..pdf;Morada, CPostal, EMAIL, Nome, DesignacaoCP;2;0.00013;12;2915
67;RPT000067;Custos das unidades;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\5\21\1750cca8-c973-4276-8ce1-1cb29ffd1ff7\;12a1eb33-43e2-4f5d-a8c5-b0e253025019.pdf;;0;0.00000;0;2352
68;RPT000068;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\3\14\bafed820-daee-40d4-9b9e-e739e9fbf40e\;0616b07d-123e-4f0a-9634-0e284b35b543.1..pdf;CPostal, Nome;2;0.00013;10;3361
69;RPT000069;Apoio – CIM;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\12\19\63b9f78c-e527-4e88-b2d5-d8a6971e9ad9\;9a1cb488-ca10-4d8e-a8a2-234f8e905311.1..pdf;;0;0.00000;0;3350
70;RPT000070;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\7\11\c341bd90-2b19-450f-bd97-05d3265ebd1f\;6560939d-c4ae-4337-b23c-7d69e16a76b4.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;2031
71;RPT000071;Projectos externos;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\7\2\dabb486c-58f2-4d36-9361-b38bd1754516\;ee2ee1ea-60e1-4945-add7-70c2d175ba6a.pdf;;0;0.00000;0;7087
72;RPT000072;Actividade Comercial;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2011\9\9\a4a99688-dac5-451d-897e-83e8d8e885b3\;170a356b-77ed-47c8-b159-bb17caca45c5.pdf;Telefone, CPostal, Data, EMAIL, Nome;2;0.00013;11;10079
73;RPT000073;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\1\7\c224602f-90a2-4fd1-a262-27a37cc4b3fc\;dbc27fc4-40d7-47e4-a8e1-17332b3e1a52.1..pdf;IBAN, Profissao, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;23;1563
74;RPT000074;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2009\10\26\83f35856-4679-4a02-9e08-9cae00c0dc68\;2009_10_26_11_40_54.pdf;Morada, Data, DesignacaoCP, Nome;2;0.00013;8;4411
75;RPT000075;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\1\16\b6d27f4c-1a6b-4eca-bbbc-c6de5e4197f7\;f0cdcb8a-7b26-48dc-8295-895844bf98d1.1..pdf;CPostal, Data, Nome;2;0.00013;7;6679
76;RPT000076;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\10\14\d31a0849-0eeb-4265-9bb3-fb7bab0a2d51\;b8238a1f-441c-49e4-a89f-1976cccac514.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;22;3061
77;RPT000077;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\5\12\d298cd69-2046-4653-8a16-7fdfc21caa41\;a8efc5df-a37a-4757-925f-2778e2f696a9.1..pdf;Morada, CPostal, Data, EMAIL, Nome;2;0.00013;16;2638
78;RPT000078;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2013\1\3\17cb0534-f54f-479a-b63b-403664937d0e\;429baf38-9a68-4c15-9a0f-3421e80b2bac.pdf;;0;0.00000;0;4939
79;RPT000079;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2012\7\27\aa5e1e60-8d53-467c-8fc3-84bcace166bb\;864b0eca-e5a4-41a8-b17f-1e2eb381e21e.pdf;Profissao, CPostal, Data, DesignacaoCP, Nome, NISS;4;0.00026;19;13015
80;RPT000080;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2012\4\4\2b8dcac0-ea9a-48c3-bbed-b31ea3174c02\;625fbd9c-f6a2-4756-8722-75696b32154b.pdf;Morada, CPostal, DesignacaoCP, Nome;2;0.00013;7;13333
81;RPT000081;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\12\21\4d97294b-bc12-4499-a618-19e335d71067\;f82cdf31-f6d8-4761-8105-b18d1839ca6a.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;17;3043
82;RPT000082;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\9\30\34b5bdde-4eec-4ad3-a13f-becda0464dad\;74fa3aec-ed31-4809-92c9-15ac1f73fcf2.1..pdf;Filiacao, Telemovel, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;20;1554
83;RPT000083;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\5\22\e87a7c5c-702e-4848-bb99-fa4beecb535b\;ee1da9e3-8ab7-4a0d-a9ff-5a19d72ddfc4.1..pdf;IBAN, NIB, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;15;2034
84;RPT000084;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\1\15\208fd1b6-5383-4230-9498-493c9943a6b0\;9d75dc62-94ad-4947-9bac-6906977faf94.pdf;;0;0.00000;0;2325
85;RPT000085;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\4\9\8c72edac-320d-4277-a308-83767561b326\;e415b142-f396-44b6-9b26-3d7ed21c8023.1..pdf;;0;0.00000;0;674
86;RPT000086;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\9\27\74b5ab9e-1560-4d2e-8387-a734167cd67a\;cc71ce76-f230-4659-a391-52cb7f706b2f.1..pdf;Morada, CPostal, Data, DesignacaoCP, Nome;2;0.00013;12;3877
87;RPT000087;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2013\2\21\042ef995-ec2f-4439-8d1d-defa0ac21de4\;c8b9535b-243b-4a69-80cf-962c4c3203a5.pdf;;0;0.00000;0;12225
88;RPT000088;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2009\9\4\cb2ba8b1-3034-416b-a9fc-9c7a00d006f8\;2009_09_04_12_36_06.pdf;Filiacao, NIB, Profissao, Telefone, CPostal, EMAIL, DesignacaoCP, Nome;5;0.00033;12;3542
89;RPT000089;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\12\13\3b13ec63-1c6d-4371-ada7-1d28705fc29a\;15386672-0724-4ab4-a6af-c8fca53de193.1..pdf;Filiacao, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;23;13749
90;RPT000090;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\7\1\b46dc393-5d2f-4171-b69c-41024d7b6711\;fe098fcf-023d-487b-8547-4316d83b32f1.1..pdf;;0;0.00000;0;2732
91;RPT000091;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\7\25\713d658c-beb0-4380-82a0-b5fa8fad072e\;f75ce6a9-6f34-4c70-8d01-40c6068edb70.1..pdf;;0;0.00000;0;2847
