Key;Label;Tipo Ficheiro;Pasta;Ficheiro;Tipo de Dado;Clas. Risco;Densidade Risco;Nr Dados;Tamanho Documento
46;RPT000046;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\CIVIS\Esp. Inf. Paleta Costa\Notas\2011\;NOTA_254-Enviar Certificado Curso.doc;Habilitacao, Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;16;1108
48;RPT000048;xlsx;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\_destacados\1SAR ETI Santos Gomes\;1SAR SANTOS GOMES AVALIAÇÕES 2013.xlsx;Profissao, Nome, DesignacaoCP;2;0,00013;12;6773
50;RPT000050;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DAGI\OFICIAIS\2TEN Ferreira Monteiro\Férias\;20ago a 10set12.xls;Habilitacao, Morada, CPostal, Data, DesignacaoCP, Nome;2;0,00013;204;86890
52;RPT000052;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2014\AVALIAÇÕES 2014\DITIC\1TEN P. PARDELHA\;CAB L PAULINO.pdf;Profissao, Data, Nome, DesignacaoCP;2;0,00013;20;15025
54;RPT000054;xlsx;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Sargentos\SAJ ETI Jesus da Costa\FERIAS\2013\;11 a 16NOV13.xlsx;CPostal, Nome;2;0,00013;13;3357
56;RPT000056;xlsx;\\sti-srv-01\STI\Servicos Partilhados\2018\ESCALAS ETIR\Escalas das Seccoes ETIR recebidas\ETIR - T\;Escala ETIR_T 2018_05_Alt01.xlsx;Nome;1;0,00007;10;2494
58;RPT000058;docx;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\01-Oficiais\2TEN TSN TORRES GAMA\Notas\;NOTA DITIC- Pedido renovação de cartão para ESTAÇÃO NAVAL-ASPOF GAMA.docx;Profissao, Morada, CPostal, EMAIL, Nome, DesignacaoCP;2;0,00013;12;1197
60;RPT000060;docx;\\sti-srv-01\STI\Servicos Partilhados\2018\ESCALAS ETIR\Escalas das Seccoes ETIR recebidas\ETIR - T\CABULAS\;MEMORANDO.docx;Profissao, Nome;2;0,00007;3;221
62;RPT000062;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\01-Oficiais\1TEN TSN Cabrita Branco\Certificados\;Certificado de Formação - Oracle 11g - Introdução.pdf;;0;0;0;4050
64;RPT000064;xlsx;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\SSTI\ALARDO\Civis\Esp Inf. Cristina Ascenço\Férias\;MINUTA-GUIA_FÉRIAS-26dez a 25Jun2012.xlsx;Habilitacao, Morada, CPostal, Data, DesignacaoCP, Nome;2;0,00013;206;2779
66;RPT000066;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\_destacados\1SAR ETS Jesus  Pereira\Guias 129_130\;M-129-2011-Esq-Heli-1Sar ets Pereira.xls;Nome, DesignacaoCP;2;0,00013;12;2806
68;RPT000068;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DITIC\Oficiais\2TEN EN-AEL Neto Ribeiro\Férias\;16 a 27Ago11.xls;Habilitacao, Morada, CPostal, Data, DesignacaoCP, Nome;2;0,00013;203;86262
70;RPT000070;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DITIC\Oficiais\STEN TSN Gonçalves Ferreira\Guias 129_130\;vantagem_mais 28 A 31mai12.xls;Data, Nome, DesignacaoCP;2;0,00013;10;4083
72;RPT000072;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DAGI\OFICIAIS\CMG Alves Francisco\Guias 130_129\;Deslocação para emfga.xls;Nome, DesignacaoCP;2;0,00013;8;2714
74;RPT000074;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2014\Entradas\DAGI\OUTUBRO\;E-025-DAGI.pdf;Filiacao, Habilitacao, Nome;5;0,00033;15;23208
76;RPT000076;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2011\LISTAS\;LOTACAO DAGI  14OUT.xls;Habilitacao, Profissao, Telemovel, Telefone, Morada, CPostal, NIF, Data, DesignacaoCP, Nome;4;0,00026;290;7379
78;RPT000078;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\02-Sargentos\1SAR ETC Lázaro Peralta\GUIAS\;Curso MCCIS Site Administrator Course EMGFA 04 a 17FEV18.pdf;Data, Nome, DesignacaoCP;2;0,00013;8;3002
80;RPT000080;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DAGI\CIVIS\T.I José Marques\Férias\2011\;18 A 19SET11 PARENTALIDADE.xls;Habilitacao, Morada, CPostal, Data, DesignacaoCP, Nome;2;0,00013;206;88186
82;RPT000082;doc;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\01-Oficiais\1TEN EN-AEL Gonçalves Capela\Notas\;COM - Pedido de disticos.doc;Nome, DesignacaoCP;2;0,00007;3;358
84;RPT000084;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DAGI\Destacados\Oficiais\CMG Alves Francisco\Guias 130_129\;guia deslocação CCM.pdf;;0;0;0;1828
86;RPT000086;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DITIC\Sargentos\2SAR Afonso Ribeiro\Notas\;NOTA_336-Enviar Admissão CESMH-2SAR RIBEIRO.doc;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;16;1114
88;RPT000088;xlsx;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2013\FÉRIAS\Planeamento\SSTI-PLANEAMENTO FÉRIAS-2013-NOVA ESTRUTURA\Planeamento Férias - 2013-Por Divisões\LANÇADAS\;Cópia de DAGI-DAI-SEDO-Paula Simões.xlsx;Nome;1;0,00003;18;441
90;RPT000090;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2011\DESPACHOS\SSTI\;SSTI despacho nº8-11.doc;Profissao, Nome;2;0,00013;16;1888
92;RPT000092;pdf;\\sti-srv-01\STI\Servicos Partilhados\2017\LOUVORES\DITIC\Louvores-2016\;2016 (17).pdf;;0;0;0;4241
94;RPT000094;xlsx;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\STI\Sargentos\SAJ TF SILVA\Ferias\;03 a 05MAR14.xlsx;Morada, CPostal, Nome;2;0,00013;11;1313
96;RPT000096;docx;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\04-Civis\Tec. Inf. José Moreiras\Trabalhador Estudante\;REQ_ESTATUTO_TRAB_ ESTUDANTE_MODELO CIV07-visto2.docx;Nome;1;0,00003;3;354
98;RPT000098;doc;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Sargentos\SAJ ETI Francisco Marques\;NOTA_023-Enviar Pedido de Cartão de acesso à E-Naval-BNL-SAJ-ETI-MARQUES.doc;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;17;1129
100;RPT000100;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\02-Sargentos\SAJ ETC Lopes Marques\Requerimentos\;Req. uso barba 905088 SAJ ETC Lopes Marques.pdf;;0;0;0;1285
102;RPT000102;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Sargentos\1SAR E Assunção Perfeito\Notas\;S-125-STI.pdf;;0;0;0;1111
104;RPT000104;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\01-Oficiais\CTEN STP Baptista das Neves\GUIAS\;M129-CITAN de 23-27OUT17.pdf;Profissao, Nome, DesignacaoCP;2;0,00013;22;3190
106;RPT000106;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\CIVIS\Tec. Inf. António Pereira\Férias\2012\;PROPOSTA DE LICENÇA OUT12.pdf;;0;0;0;8814
108;RPT000108;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\_destacados\SAJ ETC Pereira Valente\;S 351 NOTA DITIC - AJUDAS DE CUSTO HORTA.pdf;;0;0;0;74458
110;RPT000110;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\SAJ ETC Pereira Valente\Férias\;09 a 11MAR15.pdf;Morada, CPostal, Nome, DesignacaoCP;2;0,00013;15;2793
112;RPT000112;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\SAJ ETC Matias Ferreira\GUIA FÉRIAS\2015\;30JUL a 18AGO15.pdf;Morada, CPostal, DesignacaoCP, Nome;2;0,00013;17;2772
114;RPT000114;docx;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2015\LOUVORES\STI\ASS TEC ADMN Lurdes da Conceição\;Louvor ASS TEC ADMN LURDES DA CONCEIÇAO.docx;Profissao, Data, Nome, DesignacaoCP;2;0,00007;15;433
116;RPT000116;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2011\ABONOS\;Msg_Abono Pessoal em Estágio-2011 MONICA UAICM.doc;Profissao, Data, Nome, DesignacaoCP;2;0,00013;5;1484
118;RPT000118;doc;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Praças\2MAR MS Pires\MSG's\;De.doc;Profissao, Data, Nome;2;0,00007;17;639
120;RPT000120;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Civis\Tec. Inf. Rui Molho\Baixas\;13_a_24_02_e_25_2_a_25_3_12.pdf;;0;0;0;6842
122;RPT000122;docx;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DAGI\OFICIAIS\STEN Paula Pires Simões\Notas\;prorrogação Contrato 2012.docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00007;14;793
124;RPT000124;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\SAJ ETC Matias Ferreira\Guias 129_130\;M129 DP 19FEV15.pdf;Filiacao, Profissao, Data, Nome, DesignacaoCP;5;0,00033;13;4603
126;RPT000126;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DAGI\PRAÇAS\CAB E Reis Lima\Ordens\;Dagi-Ce para Dagi efectuados.pdf;Profissao, Data, Nome, DesignacaoCP;2;0,00013;26;1566
128;RPT000128;xlsx;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\1SAR ETC SARGENTO CAEIRO\FÉRIAS\2014\;01 a 12JUL14.xlsx;Profissao, CPostal, Nome;2;0,00013;10;1544
130;RPT000130;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Oficiais\1TEN EN-AEL Santana Gonçalves\;Previsão mov_Iesm.pdf;Data, DesignacaoCP;2;0,00013;41;18202
132;RPT000132;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DAGI\02-Sargentos\1SAR L Pinto de Azevedo\Parentalidade\;S-025-DAGI.pdf;;0;0;0;4078
134;RPT000134;xls;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\STI\04-Civis\ASS. TEC. Maria Lurdes Conceição\Férias\2012\;Guia-Férias-05 a 07mar2012.xls;Habilitacao, Morada, CPostal, Data, DesignacaoCP, Nome;2;0,00013;193;325853
136;RPT000136;xlsx;\\sti-srv-01\STI\Servicos Partilhados\2018\ABONOS 2018\DAGI\02-fevereiro\;Mapa A e B da Previsão das Refeições a Fornecer e Resumo Diário de Previsão das refeições a Fornecer.xlsx;Profissao, Data, Nome;2;0,00013;95;2006
138;RPT000138;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Praças\Cabo CCT Lacerda\GUIAS\;ETNA - DCSI 23JUN14.pdf;Data, Nome, DesignacaoCP;2;0,00013;35;5573
140;RPT000140;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\REQUERIMENTOS\CONVITES\;Resposta a convites SHAPE-MONS.doc;Profissao, Nome;2;0,00007;14;390
142;RPT000142;pdf;\\sti-srv-01\STI\Servicos Partilhados\Portal Intranet - STI\Escalas\Esc Praças STI\;Escala de 24 de marco a 08 de abril 2016.pdf;;0;0;0;6316
144;RPT000144;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\INTRA STI\Escalas\Esc Of UAICM\Adjuntos de permanência\;Adjuntos de permanência setembro 2014.pdf;;0;0;0;5188
146;RPT000146;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DITIC\Sargentos\_destacados\1SAR L Maia Rodrigues\Férias\;23 a 28abr12.xls;Habilitacao, CPostal, Data, DesignacaoCP, Nome;2;0,00013;206;86362
148;RPT000148;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2015\Entradas\STI\OUTUBRO\;E-007-STI.pdf;Profissao, Nome;2;0,00013;14;44051
150;RPT000150;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2015\AVALIAÇÕES 2015\DITIC\CTEN P. GARCIA\SEM CONTADOR AUTOMÁTICO\;SAJ MQ ALMEIDA.pdf;Profissao, Nome, DesignacaoCP;2;0,00013;19;1571
152;RPT000152;xlsx;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\01-Oficiais\2TEN SA DE ARAUJO\Guias 129 -130\Guias\;M-129-RUMOS-03JUN13.xlsx;Data, Nome, DesignacaoCP;2;0,00013;10;2612
154;RPT000154;xlsx;\\sti-srv-01\STI\Servicos Partilhados\2018\ABONOS 2018\DITIC\02-Fevereiro\Mapas Abonos Militares e Civis - DITIC - CORE\Mapa Previsão Abono - Enviados\;Mapa C e D de Abono Diário e Resumo Diário do Mapa de Abono Diário.xlsx;Profissao, Data, Nome;2;0,00013;302;2949
156;RPT000156;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DITIC\Sargentos\2SAR ETI Gomes Venâncio\Guia 129_130\;M-129 ETNA-DAE 18jun a 22jun2012.xls;Data, Nome, DesignacaoCP;2;0,00013;8;4060
158;RPT000158;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2015\Entradas\DITIC\MAIO\;E-048-DITIC.pdf;Nome, DesignacaoCP;2;0,00013;7;14355
160;RPT000160;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DAGI\OFICIAIS\2TEN Ferreira Monteiro\Ordens\;Destac_Dagi_Escola Naval.pdf;;0;0;0;1213
162;RPT000162;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2004\NOTAS\ENVIAR PEDIDOS DE CARTAS CONDUÇÃO E VÁRIOS\;NOTA ENVIAR PEDIDO CARTAS DE CONDUÇÃO OFICIAIS AO G1EA-EMQ.doc;Profissao, Nome, DesignacaoCP;2;0,00013;5;1151
164;RPT000164;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2010\DECLARAÇÕES\DESEMPENHO DE FUNÇÕES\;DECLARAÇÃO veiculo nome outra pessoa.doc;Profissao, Nome;2;0,00007;8;645
166;RPT000166;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\CIVIS\_Destacados\Ass. Pr. Fátima Guerra\Notas\;Aposentação.doc;Nome;1;0,00007;7;1174
168;RPT000168;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2015\AVALIAÇÕES 2015\DITIC\1TEN S. VELOSO\SEM CONTADOR AUTOMÁTICO\;1TEN C. BRANCO.pdf;Profissao, Nome, DesignacaoCP;2;0,00013;21;1613
170;RPT000170;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DAGI\OFICIAIS\CTEN Oliveira Vieira\GUIAS\;M129 EMA 24FEV14.pdf;Data, Nome, DesignacaoCP;2;0,00013;9;4294
172;RPT000172;xlsx;\\sti-srv-01\STI\Servicos Partilhados\2017\ABONOS 2017\STI\12 - Dezembro\Mapas Abonos Militares e Civis - STI\ABONOS 2018\STI\02 -Fevereiro\Mapas Abonos Militares e Civis STI\;Mapa C e D de Abono Diário e Resumo Diário do Mapa de Abono Diário.xlsx;Profissao, Data, Nome;2;0,00013;61;1741
174;RPT000174;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2007\REQUERIMENTOS\FREQUENTAR AULAS-CURSOS - Leccionar\;NOTA - REQUERIMENTO ESTUDAR.doc;Nome, DesignacaoCP;2;0,00013;5;1147
176;RPT000176;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2010\ALARDO\;ALARDO.xls;Profissao;1;0,00003;1;838
178;RPT000178;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2010\MEMORANDUM\;memos - Autorização semana.doc;Profissao, Nome, DesignacaoCP;2;0,00007;15;391
180;RPT000180;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2017\Saidas\DAGI\;S-114-DAGI.pdf;Nome;1;0,00007;1;4511
182;RPT000182;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DAGI\OFICIAIS\CMG Alves Francisco\;GuiaRemessa_Material_M48.pdf;Profissao, Data, Nome, DesignacaoCP;2;0,00013;7;10214
184;RPT000184;pdf;\\sti-srv-01\STI\Servicos Partilhados\Publicações\Nótulas\Nótulas 2013\;Notula 179 IH SSTI.pdf;Data, Nome;2;0,00007;2;672
186;RPT000186;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\INTRA STI\ordens pdf\2010\agosto\;ODU SSTI 26-10.pdf;Data, Nome, DesignacaoCP;2;0,00013;22;7952
188;RPT000188;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DITIC\Praças\destacados\CAB L Felício de Jesus\FÉRIAS\;11jul A30JUL11.xls;Habilitacao, Morada, CPostal, Data, DesignacaoCP, Nome;2;0,00013;208;86241
190;RPT000190;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2017\Saidas\DITIC\;S-032-DITIC.pdf;CPostal, Data, Nome, DesignacaoCP;2;0,00013;13;12738
192;RPT000192;xls;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Oficiais\1TEN EN-AEL ROCHA ROBOREDO\Férias\2012\;Guia-Férias-16Jul a 30JUL2012.xls;Habilitacao, Morada, CPostal, Data, DesignacaoCP, Nome;2;0,00013;190;319173
194;RPT000194;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2016\Entradas\DITIC\;E-505-DITIC.pdf;Nome, DesignacaoCP;2;0,00013;26;51499
196;RPT000196;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DAGI\OFICIAIS\1TEN STP MANSO\PUA\;FICHA INDIVIDUAL SSTI.pdf;Nome;1;0,00007;1;2504
198;RPT000198;xls;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Praças\CAB E SOUSA MOTA\Férias\2012\;06  a 25ago12.xls;Habilitacao, CPostal, Data, DesignacaoCP, Nome;2;0,00013;204;86635
200;RPT000200;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2015\Entradas\DITIC\FEVEREIRO\;E-040-DITIC.pdf;Profissao, CPostal, Data, Nome, DesignacaoCP;2;0,00013;9;18769
202;RPT000202;pdf;\\sti-srv-01\STI\Servicos Partilhados\Publicações\Nótulas\Nótulas 2011\;Notula 456 SSTI 1417_2011_14000_I_1_1.pdf;Data, Nome;2;0,00013;3;3453
204;RPT000204;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DITIC\Oficiais\_DESTACADOS\2TEN TSN Morão Salvador\;NOTA-403-Enviar Requerimentos-CTEN M DIAS MARQUES.doc;Profissao, Morada, CPostal, Nome;2;0,00013;13;1074
206;RPT000206;xlsx;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Oficiais\2TEN TSN Santos Jorge\Férias\2014\;09 a 25JUN14.xlsx;Morada, CPostal, Nome;2;0,00013;19;3857
208;RPT000208;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Oficiais\_DESTACADOS\CTEN M Dias Marques\;id military.pdf;;0;0;0;13638
210;RPT000210;docx;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2015\ORDENS\;ODU STI - 12-15.docx;Filiacao, Habilitacao, Profissao, Genero, Data, DesignacaoCP, Nome;5;0,00033;55;15329
212;RPT000212;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DITIC\Oficiais\CTEN SEP Penim Garcia\;vantagem_mais 28set11.xls;Data, Nome, DesignacaoCP;2;0,00013;15;2860
